iter	TotalF1	MultiClass
0	0.4278062364	1.590751745
1	0.4462727286	1.572758351
2	0.4447240412	1.556614171
3	0.4482228758	1.540679904
4	0.4517845149	1.525655598
5	0.4509731736	1.511934025
6	0.4509509294	1.499053274
7	0.4515988209	1.486726686
8	0.4521838893	1.475090465
9	0.4535643989	1.464056911
10	0.4530288252	1.453503933
11	0.4534516952	1.443380953
12	0.4546050542	1.43386366
13	0.4557423656	1.424635329
14	0.4558107878	1.415753339
15	0.4571306933	1.40690759
16	0.4574127006	1.399002538
17	0.4582647073	1.391275295
18	0.4584573618	1.384209593
19	0.4599788194	1.376759423
20	0.461885714	1.369491855
21	0.4651250576	1.362682213
22	0.4643247781	1.356741809
23	0.466051618	1.350807899
24	0.4672014445	1.344896839
25	0.467364946	1.339391308
26	0.4681098587	1.333699155
27	0.469024349	1.328410045
28	0.4693687204	1.323572369
29	0.4696701599	1.318803415
30	0.4708431346	1.313965053
31	0.4714689396	1.309181228
32	0.4717564521	1.304916563
33	0.4728270213	1.300749072
34	0.4733521306	1.296879695
35	0.4731224593	1.293278386
36	0.4733951647	1.289114374
37	0.4740531368	1.285197103
38	0.4745283228	1.281404095
39	0.4751775787	1.277782326
40	0.4752070675	1.274356924
41	0.4759847202	1.271099913
42	0.4761106056	1.267898992
43	0.4763166722	1.265038736
44	0.4764543346	1.26215663
45	0.4768579555	1.258935046
46	0.4773058303	1.255879736
47	0.4779575833	1.25293426
48	0.4784583432	1.250221233
49	0.4785166473	1.24763526
50	0.4789436825	1.245053548
51	0.4796388155	1.242393077
52	0.4802184354	1.239697827
53	0.4807683356	1.237608587
54	0.4810884167	1.235261707
55	0.4815865274	1.233044236
56	0.4820074194	1.230956533
57	0.4819911401	1.229133617
58	0.482417594	1.227289511
59	0.4829140889	1.225342248
60	0.4832502331	1.223238205
61	0.4837218983	1.221634021
62	0.4839883786	1.219823412
63	0.4844769915	1.217738744
64	0.4845501116	1.215993317
65	0.4847224439	1.214214508
66	0.4854112342	1.212659375
67	0.4858968468	1.210915095
68	0.4864446604	1.209319502
69	0.4867894992	1.207598359
70	0.4872670797	1.206026565
71	0.487836911	1.204346343
72	0.4878692082	1.202992118
73	0.4883036909	1.201515154
74	0.4880550644	1.199979669
75	0.4889365745	1.198557358
76	0.4891104395	1.197171718
77	0.4891003631	1.195930066
78	0.4894830719	1.194723988
79	0.4897689581	1.193293087
80	0.4898748795	1.192071964
81	0.4901276632	1.191052876
82	0.4901170228	1.189811062
83	0.4904768243	1.188303812
84	0.4909220847	1.187034904
85	0.4912006406	1.185645242
86	0.4913868329	1.184644223
87	0.4914004529	1.183386254
88	0.4918491114	1.182207778
89	0.4921013466	1.181177779
90	0.4923907875	1.180081675
91	0.4926033062	1.178929978
92	0.492834067	1.177830042
93	0.4932715308	1.17645442
94	0.4934782478	1.175424065
95	0.4938228788	1.174241173
96	0.4936687049	1.173309192
97	0.4938722098	1.172331487
98	0.4940540963	1.171181685
99	0.4943162687	1.170197252
100	0.4945821303	1.169396316
101	0.4951856496	1.16819492
102	0.4953356545	1.167514925
103	0.4956131029	1.166776792
104	0.4959987897	1.165754243
105	0.4962118151	1.165006544
106	0.4964315911	1.164142974
107	0.4968942802	1.163032133
108	0.4970563601	1.161870118
109	0.4972782497	1.160901666
110	0.4975626256	1.160179278
111	0.4980072284	1.159229341
112	0.4980631669	1.158526203
113	0.4980548519	1.157866827
114	0.4986647768	1.156898532
115	0.4992107067	1.156156924
116	0.4992183626	1.155508783
117	0.4993376127	1.154785303
118	0.4996658003	1.154161858
119	0.4997330248	1.153309308
120	0.5001483501	1.152716666
121	0.5000703405	1.151941602
122	0.5003284154	1.15125799
123	0.5007468427	1.150560219
124	0.5012584199	1.149744359
125	0.5016701996	1.148781161
126	0.501826231	1.14821018
127	0.502098298	1.147488435
128	0.5023655344	1.146757178
129	0.5026405041	1.145917625
130	0.5030753331	1.145246081
131	0.5032525539	1.144655083
132	0.5032980295	1.144161406
133	0.5035333383	1.143362357
134	0.503821306	1.142553095
135	0.5041443003	1.141881692
136	0.504269395	1.141277625
137	0.5043458056	1.140762412
138	0.5048531283	1.140100156
139	0.5050580091	1.139075694
140	0.5054584831	1.138544145
141	0.5056002401	1.137797321
142	0.5063549359	1.136942167
143	0.5066569685	1.136307469
144	0.5068673297	1.135809695
145	0.5069141038	1.135302874
146	0.5070819658	1.13480604
147	0.5074984096	1.133919791
148	0.5076601565	1.133210621
149	0.5077508489	1.132768873
150	0.508141948	1.132009479
151	0.5084307204	1.131391474
152	0.5088860189	1.130620299
153	0.5090055492	1.129892737
154	0.5092829503	1.129477268
155	0.5093528844	1.128942683
156	0.5099815139	1.128247875
157	0.5103383617	1.127600694
158	0.5105525458	1.127097735
159	0.5107412248	1.126576618
160	0.5109099308	1.125967666
161	0.5111710618	1.125402243
162	0.511138655	1.124934181
163	0.5114213136	1.124513649
164	0.5117160782	1.12402452
165	0.5118535818	1.123487634
166	0.5118770224	1.122663195
167	0.5122935863	1.122022604
168	0.5124949452	1.121475698
169	0.5126050468	1.120904943
170	0.5129959215	1.120293804
171	0.513453081	1.119515077
172	0.5134849063	1.119172745
173	0.5137073299	1.118517164
174	0.5138304935	1.118135137
175	0.5140329088	1.117643881
176	0.5144992008	1.116956721
177	0.5147816794	1.116531335
178	0.5150711813	1.116075311
179	0.5152445225	1.115429846
180	0.515660737	1.114783408
181	0.5158828941	1.114265103
182	0.5159079634	1.113716564
183	0.5160073969	1.113093666
184	0.5164272964	1.112672494
185	0.5170143356	1.112072111
186	0.5171917369	1.11165126
187	0.5174052053	1.111212615
188	0.51786712	1.110622617
189	0.518369374	1.109993765
190	0.5184533882	1.109511293
191	0.5187825703	1.109011383
192	0.518866208	1.108310855
193	0.5190187342	1.107957412
194	0.519379224	1.107319675
195	0.5198661967	1.106598165
196	0.5202235131	1.106165931
197	0.5208271622	1.10561678
198	0.5208097891	1.105118458
199	0.5210631583	1.104658958
200	0.5215818136	1.103999111
201	0.5218348816	1.103530965
202	0.5221664509	1.10315616
203	0.5221703328	1.102840909
204	0.5224582305	1.102171783
205	0.5226764857	1.10176105
206	0.5228339722	1.101315203
207	0.5234351617	1.100806254
208	0.5236471046	1.100261743
209	0.5238529462	1.099766931
210	0.5241803239	1.099362356
211	0.5245606855	1.098724977
212	0.5246377156	1.098384909
213	0.5247938101	1.098021753
214	0.5251747007	1.097676872
215	0.5252540787	1.097151704
216	0.5254650538	1.096742677
217	0.5258440812	1.096178803
218	0.5261527004	1.095674022
219	0.5264145176	1.095319533
220	0.5265484058	1.094747431
221	0.5269735866	1.094224288
222	0.5274768105	1.093735643
223	0.5277051938	1.093155848
224	0.5283431336	1.09259631
225	0.5285531858	1.092218818
226	0.5286901816	1.091974696
227	0.5287391181	1.091569052
228	0.5288553706	1.091025187
229	0.5290906651	1.090442309
230	0.5292290996	1.090101061
231	0.5298007343	1.089474009
232	0.5301559781	1.088808792
233	0.5303670568	1.088279445
234	0.5304721349	1.087807992
235	0.5307120317	1.087401776
236	0.5312920789	1.086839443
237	0.5316990018	1.086467982
238	0.5319746677	1.085947642
239	0.5324004323	1.085487093
240	0.5327390256	1.084872625
241	0.5329808066	1.084387039
242	0.5332726226	1.083782588
243	0.5332176377	1.0832139
244	0.5332666979	1.082938323
245	0.5336676329	1.082398756
246	0.534193295	1.081807078
247	0.5342868805	1.081475774
248	0.534896459	1.08081428
249	0.5351917381	1.080306373
250	0.5355077221	1.079848013
251	0.5356949936	1.079559991
252	0.5359486119	1.079305199
253	0.5361598993	1.078954393
254	0.5367766463	1.078249856
255	0.5370115937	1.077836635
256	0.5373314378	1.07729434
257	0.5374720276	1.07701572
258	0.5375406	1.076590194
259	0.5378150181	1.076227716
260	0.5381466775	1.075911421
261	0.538472329	1.075588876
262	0.5386484062	1.075271574
263	0.5389108199	1.074895237
264	0.5393366985	1.074290166
265	0.5395020269	1.073831236
266	0.5403814548	1.073111242
267	0.5404298533	1.072741144
268	0.5406439915	1.0723206
269	0.5408912997	1.071951593
270	0.5411046682	1.071485614
271	0.541630073	1.070804949
272	0.5420163441	1.070041814
273	0.5425426929	1.069627401
274	0.5428034285	1.069190036
275	0.5431210414	1.068831011
276	0.5432701419	1.068588499
277	0.5432842913	1.06822236
278	0.5438364121	1.067613758
279	0.5442557673	1.067247402
280	0.5444365079	1.066888572
281	0.5445127265	1.066651039
282	0.5446559732	1.066384043
283	0.5447477334	1.065948075
284	0.5447733989	1.065571895
285	0.5452134321	1.065132032
286	0.5458116564	1.064416959
287	0.5462743305	1.063990272
288	0.5465079735	1.063607067
289	0.5466580453	1.063163255
290	0.5469275064	1.062799264
291	0.5469746533	1.062529296
292	0.5472513476	1.062198957
293	0.5477012097	1.061739948
294	0.5477852211	1.061393898
295	0.5477985109	1.061082293
296	0.5479257597	1.060694093
297	0.5485443229	1.060186832
298	0.5486770688	1.05984372
299	0.5490010807	1.059538327
300	0.5488451126	1.059242426
301	0.5491313358	1.058963213
302	0.5493217789	1.058679462
303	0.5496795238	1.058199674
